Host Country,Source Country,2010,2011,2012,2013,2014,2015,2016
Brunei Darussalam, Total Countries (World),625.39,"1,208.30",864.81,725.47,568.18,171.32,-150.44
Brunei Darussalam, Total Intra-ASEAN,89.52,67.47,31.47,-57.98,141.2,86.65,-64.66
Cambodia, Total Countries (World),782.55,891.75,"1,557.13","1,274.90","1,726.53","1,700.97","2,279.67"
Cambodia, Total Intra-ASEAN,348.99,223.82,523.02,298.85,372.48,425.41,635.77
Indonesia, Total Countries (World),"13,770.19","19,241.61","19,137.87","18,443.84","21,810.42","16,642.15","3,520.83"
Indonesia, Total Intra-ASEAN,"5,904.21","8,334.45","7,587.88","8,721.11","13,083.72","9,228.63","9,770.00"
Lao PDR, Total Countries (World),332.59,466.85,294.38,426.67,913.24,"1,079.15","1,075.69"
Lao PDR, Total Intra-ASEAN,135.38,75,73.64,104.61,137.94,221.83,196.64
Malaysia, Total Countries (World),"9,155.88","12,000.89","9,399.97","12,107.09","10,875.31","10,179.99","11,328.82"
Malaysia, Total Intra-ASEAN,525.63,"2,664.32","2,813.90","2,150.03","2,283.98","2,931.35","2,065.34"
Myanmar, Total Countries (World),"2,248.79","2,058.20","1,354.20","2,620.90",946.22,"2,824.48","2,989.48"
Myanmar, Total Intra-ASEAN,25.5,84.6,151.2,"1,186.80",683.62,"2,230.65","1,682.89"
Philippines, Total Countries (World),"1,298.00","1,815.94","2,797.01","3,859.79","5,814.57","5,639.16","7,933.06"
Philippines, Total Intra-ASEAN,40.22,-74.1,145.17,-41.71,137.1,57.3,533.98
Singapore, Total Countries (World),"57,214.10","39,988.00","60,872.30","55,756.30","77,482.10","62,446.80","53,912.20"
Singapore, Total Intra-ASEAN,"5,715.10","2,581.50","11,694.50","3,240.80","4,635.60","2,803.40","5,775.60"
Thailand, Total Countries (World),"14,746.67","2,473.69","12,899.04","15,935.96","3,720.21","8,027.49","2,553.17"
Thailand, Total Intra-ASEAN,"2,220.92",952.22,-745.35,528.21,"-1,466.77","1,413.72","1,759.85"
Viet Nam, Total Countries (World),"8,000.00","7,519.00","8,368.00","8,900.00","9,200.08","11,800.00","12,600.00"
Viet Nam, Total Intra-ASEAN,"1,300.88","1,517.34","1,262.55","2,078.59","1,547.08","2,153.46","2,306.61"
,,,,,,,,
,,,,,,,,
