Countries,2004M,2004F,2005M,2005F,2006M,2006F,2007M,2007F,2008M,2008F,2009M,2009F,2010M,2010F,2011M,2011F,2012M,2012F,2013M,2013F,2014M,2014F,Source 
Brunei Darussalam,2.6,4.9,2.9,6.3,2.9,6,,,,,,,,,,,,,,,,,ASEAN Secretariat
Cambodia,,,,,,,1.3,1.1,0.6,0.5,0.2,0.2,0.7,0.4,0.4,0.3,0.3,0.2,,,,,ASEAN Secretariat
Indonesia ,28.4,35.6,26.9,35.3,29.5,36.7,24.8,28.5,21.8,25.5,20.1,23,,,,,22,23,,,,,ASEAN Secretariat
Lao's PDR,,,,,,,,,,,,,3.4,3.6,,,,,,,,,ASEAN Secretariat
Malaysia ,11.2,12.4,11.5,12,10.8,11,10.5,11.5,10.3,11.8,11.5,12.5,11,12,10.3,12,9.8,11,9.2,11.9,,,ASEAN Secretariat
Myanmar,,,,,,,,,,,,,,,,,,,,,,,ASEAN Secretariat
Philippines,13.9,18.3,14.9,18.9,15.9,18.4,13.9,16.5,15.6,18.1,15.3,18.7,15.5,18.6,12.9,15.7,14.2,17.4,13.6,15.7,,,ASEAN Secretariat
Singapore,6.9,15.3,6.2,10.8,6.1,8.3,4.6,8.2,5.4,8.9,6.6,11.5,5.5,9.6,4.8,9,5.3,8.2,5.2,8.6,4.9,8.1,ASEAN Secretariat
Thailand,6.1,6.2,6.1,5.8,5.4,6,5.5,4.9,5.2,5.3,5.1,6.3,3.7,4.2,2.5,3,2.5,3.1,,,,,ASEAN Secretariat
Viet Nam,4.4,4.9,,,,,,,,,6.3,6.1,5.9,8.3,4.3,6.2,4.6,6.6,5.4,7.1,5.5,7.1,ASEAN Secretariat
